GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab1_3cantina,tqs,Booking,3,34,0,0,1,12,1,6,1,6
lab1_3cantina,tqs,BookingStatus,0,21,0,0,0,2,0,1,0,1
lab1_3cantina,tqs,MealsBookingService,22,240,8,20,5,51,8,16,0,10
lab1_3cantina,ua,Main,7,0,0,0,3,0,2,0,2,0
